class,area
1,156
1,156
1,1731
1,325
1,1706
1,3607
1,1731
1,1731
1,1369
1,1093
1,8244
1,1093
1,1369
1,13269
1,3462
1,9350
1,1744
1,1406
1,9350
1,1707
1,325
1,30676
1,1406
1,144
1,1538
1,144
1,7357
1,2656
1,37426
1,193883
1,156
1,963
1,938
1,1406
1,156
1,98819
1,1538
1,156
1,1538
1,21577
1,12150
1,11418
1,468
1,2186
1,410267
1,325
1,1081
1,9689
1,1863
1,144
1,144
1,1406
1,1406
1,8880
1,2644
1,6355
1,144
1,1406
1,2343
1,1406
1,78637
1,169
1,18518
1,42513
1,156
1,625
1,156
1,1238
1,2018
1,2188
1,300
1,650
1,2199
1,1588
1,1369
1,1406
1,4350
1,469
1,218075
1,1588
1,769
1,156
1,1538
1,12476
1,494
1,2045
1,325
1,2332
1,2643
1,48631
1,1562
1,300
1,361084
1,300
1,505152
1,1444
1,625
1,53364
1,1587
1,1562
1,8063
1,31094
1,2030
1,144
1,1863
1,144
1,4050
1,83516
1,456
1,169
1,1562
1,156
1,7631
1,1694
1,2668
1,10300
1,2332
1,1538
1,42401
1,1406
1,1887
1,47668
1,2343
1,625
1,2201
1,1744
1,28296
1,169
1,3100
1,313
1,312
1,8726
1,456
1,1731
1,1406
1,17163
1,156
1,156
1,144
1,16720
1,1562
1,1444
1,156
1,481
1,45417
1,9975
1,2332
1,5144
1,62328
1,156
1,144
1,9400
1,4869
1,1406
1,300
1,469
1,1406
1,1694
1,3412
1,325
1,1406
1,2020
1,156
1,937
1,3449
1,1850
1,469
1,6444
1,1562
1,2488
1,4882
1,2176
1,15430
1,41681
1,1406
1,1406
1,144
1,469
1,9206
1,144
1,1406
1,6888
1,625
1,156
1,83150
1,1694
1,2487
1,1407
1,6969
1,44325
1,481
1,1262
1,1744
1,144
1,1094
1,625
1,144
1,144
1,325
1,2500
1,300
2,156
2,13109335
2,494
2,156
2,325
2,11743
2,156
2,169
2,1563
2,41861
2,950
2,950
2,781
2,781
2,781
2,781
2,169
2,169
2,156
2,444
2,444
2,169
2,169
2,169
2,144
2,144
2,156
2,156
2,5887
2,925
2,1107
2,169
2,325
2,156
2,156
2,144
2,613
2,613
2,156
2,600
2,625
2,156
2,169
2,1563
2,312
2,1069
3,3463
3,2838
3,1419
3,3569
3,4338
3,3844
3,1850
3,7212
3,469
3,325
3,144
3,6262
3,3282
3,1694
3,3282
3,1406
3,6288
3,1588
3,1369
3,1369
3,3400
3,2045
3,144
3,1406
3,5262
3,2813
3,1369
3,1862
3,144
3,169
3,1444
3,4300
3,144
3,4281
3,144
3,144
3,781
3,1731
3,1718
3,2174
3,613
3,1588
3,169
3,1588
3,1406
3,9688
3,1550
3,156
3,469
3,469
3,11226
3,1406
3,11226
3,3293
3,3293
3,2487
3,156
3,2487
3,1718
3,3293
3,3256
3,2188
3,5000
3,1562
3,156
3,5000
3,2030
3,156
3,1444
3,169
3,1444
3,6874
3,6874
3,1888
3,3462
3,3462
3,469
3,169
3,1706
3,1550
3,1406
3,1406
3,5481
3,781
3,1600
3,1575
3,1681
3,1694
3,1681
3,156
3,156
3,1575
3,169
3,169
3,2812
3,469
3,3282
3,1562
3,6431
3,300
3,300
3,1525
3,1525
3,5013
3,169
3,1538
3,625
3,625
3,3282
3,1562
3,300
3,300
3,300
3,10507
3,2175
3,3438
3,2199
3,3438
3,3293
3,1369
3,3282
3,3282
3,156
3,156
3,7776
3,7800
3,3268
3,144
3,1525
3,3268
3,300
3,3881
3,3881
3,1575
3,456
3,1731
3,3268
3,3268
3,1850
3,1444
3,1369
3,613
3,1369
3,144
3,1862
3,325
3,4663
3,4663
3,9063
3,9063
3,28570
3,1406
3,6432
3,3293
3,6432
3,2332
3,1562
3,3293
3,3293
3,781
3,781
3,3438
3,1706
3,1706
3,3438
3,3256
3,3988
3,156
3,156
3,169
3,6057
3,2619
3,3489
3,3293
3,2500
3,2500
3,1562
3,1562
3,1718
3,6694
3,6694
3,300
3,3256
3,3844
3,8920
3,8920
3,1369
3,1369
3,1706
3,5323
3,2019
3,5323
3,3919
3,3919
3,6382
3,5613
3,2030
3,300
3,300
3,300
3,1369
3,1406
3,1706
3,1444
3,1706
3,5468
3,5468
3,3282
3,2488
3,2488
3,156
3,156
3,3293
3,1444
3,1444
3,1600
3,2488
3,2488
3,11262
3,11262
3,1369
3,1369
3,2175
3,1406
3,1406
3,2357
3,2201
3,2357
3,144
3,1744
3,144
3,3607
3,1406
3,1406
3,1406
3,1406
3,469
3,3282
3,2201
3,469
3,3282
3,51751
3,35226
3,3257
3,2201
3,156
3,2201
3,1406
3,937
3,2201
3,1444
3,6719
3,2825
3,3424
3,3282
3,2825
3,6395
3,3268
3,3268
3,156
3,156
3,11601
3,2030
3,11601
3,3569
3,156
3,4338
3,156
3,1369
3,1369
3,1250
3,1525
3,3844
3,1250
3,3282
3,3282
3,4231
3,4169
3,156
3,156
3,1850
3,3293
3,3293
